STN_NAME,STN_NO,LATITUDE,LONGITUDE
EUNOS MRT STATION,EW7,1.319783548,103.90322579999999
CHINESE GARDEN MRT STATION,EW25,1.342352821,103.7325967
KHATIB MRT STATION,NS14,1.41738337,103.83297990000001
KRANJI MRT STATION,NS7,1.425086981,103.7621375
REDHILL MRT STATION,EW18,1.2896345340000002,103.81674100000001
YEW TEE MRT STATION,NS5,1.3975350690000001,103.7474052
PIONEER MRT STATION,EW28,1.3375870109999999,103.6973216
COMMONWEALTH MRT STATION,EW20,1.302501999,103.79822850000001
PAYA LEBAR MRT STATION,EW8,1.318111492,103.8930608
SIMEI MRT STATION,EW3,1.343197079,103.9533772
TAMPINES MRT STATION,EW2,1.3533016759999998,103.9451446
ADMIRALTY MRT STATION,NS10,1.44058852,103.8009905
YISHUN MRT STATION,NS13,1.429443085,103.83500500000001
PASIR RIS MRT STATION,EW1,1.373043316,103.94928449999999
CLEMENTI MRT STATION,EW23,1.315116253,103.7651915
ALJUNIED MRT STATION,EW9,1.316432612,103.882906
ANG MO KIO MRT STATION,NS16,1.36993285,103.8495581
EXPO MRT STATION,CG1,1.334549778,103.96154820000001
CHOA CHU KANG MRT STATION,NS4,1.385363165,103.7443708
JURONG EAST MRT STATION,EW24 / NS1,1.333152816,103.7422863
QUEENSTOWN MRT STATION,EW19,1.294550852,103.8060772
TUAS LINK MRT STATION,EW33,1.340882425,103.63699140000001
GUL CIRCLE MRT STATION,EW30,1.3194709009999999,103.66053050000001
WOODLANDS MRT STATION,NS9,1.43681963,103.7860668
TUAS CRESCENT MRT STATION,EW31,1.3210269559999999,103.6490782
KALLANG MRT STATION,EW10,1.31148891,103.8713865
TUAS WEST ROAD MRT STATION,EW32,1.329985047,103.6396166
BUONA VISTA MRT STATION,EW21,1.307223708,103.7902535
DOVER MRT STATION,EW22,1.311405293,103.7786378
SEMBAWANG MRT STATION,NS11,1.4490508219999998,103.82004609999998
KEMBANGAN MRT STATION,EW6,1.3210381340000001,103.9129479
BUKIT BATOK MRT STATION,NS2,1.349033312,103.7495665
ANG MO KIO MRT STATION,NS16,1.36993285,103.8495581
BOON LAY MRT STATION,EW27,1.338604055,103.70606459999999
BUKIT GOMBAK MRT STATION,NS3,1.3586115909999998,103.7517909
MARSILING MRT STATION,NS8,1.432521149,103.77407459999999
BEDOK MRT STATION,EW5,1.323979969,103.9299845
JOO KOON MRT STATION,EW29,1.3277170409999999,103.678375
LAKESIDE MRT STATION,EW26,1.344259115,103.7209491
TANAH MERAH MRT STATION,EW4,1.327187291,103.9463486
YIO CHU KANG MRT STATION,NS15,1.381755871,103.8449473
OASIS LRT STATION,PE6,1.40228668,103.91272740000001
SAM KEE LRT STATION,PW1,1.409612685,103.9048316
FARMWAY LRT STATION,SW2,1.397170196,103.88930479999999
KUPANG LRT STATION,SW3,1.39821283,103.88125620000001
RENJONG LRT STATION,SW8,1.38670059,103.89062129999999
BUKIT PANJANG LRT STATION,BP6,1.3779269459999999,103.7631029
FAJAR LRT STATION,BP10,1.3845731769999998,103.7708872
PUNGGOL LRT STATION,PTC,1.4051947009999999,103.9024119
SAMUDERA LRT STATION,PW4,1.4159017219999999,103.9021563
NIBONG LRT STATION,PW5,1.4118704569999998,103.90031379999999
SOO TECK LRT STATION,PW7,1.405323319,103.8972905
KADALOOR LRT STATION,PE5,1.399509106,103.916575
CORAL EDGE LRT STATION,PE3,1.3939092290000001,103.9125808
THANGGAM LRT STATION,SW4,1.3973181559999999,103.8756352
KEAT HONG LRT STATION,BP3,1.378603251,103.7490557
DAMAI LRT STATION,PE7,1.405234836,103.9086035
COVE LRT STATION,PE1,1.399281988,103.90596190000001
RIVIERA LRT STATION,PE4,1.394519785,103.9161694
SENJA LRT STATION,BP13,1.3827254709999999,103.7623443
JELAPANG LRT STATION,BP12,1.38673927,103.76453409999999
PETIR LRT STATION,BP7,1.3777720430000002,103.76664579999999
TECK WHYE LRT STATION,BP4,1.376684679,103.7537122
CHOA CHU KANG LRT STATION,BP1,1.384755411,103.7445377
