PROJECT_NAME,LATITUDE,LONGITUDE
# 1 LOFT,1.312763029,103.8835064
# 1 SUITES,1.312391592,103.8814968
10 EVELYN,1.316263731,103.8405809
10 SHELFORD,1.325835477,103.81252640000001
111 EMERALD HILL,1.305041547,103.8391513
120 GRANGE,1.299975495,103.8255187
16 @ AMBER,1.299647135,103.89883370000001
18 WOODSVILLE,1.32957457,103.8682204
183 LONGHAUS,1.35098098,103.83551109999999
19 NASSIM,1.306555259,103.82131290000001
1919,1.302738025,103.8467072
1953,1.316517551,103.8578253
21 RICHARDS,1.3618693569999998,103.8814311
24 ONE RESIDENCES,1.280214091,103.78490790000001
26 NEWTON,1.315674097,103.8416512
28 IMPERIAL RESIDENCES,1.3117802790000002,103.8846132
28 RC SUITES,1.3099799079999999,103.85294959999999
28 SHELFORD,1.329240732,103.8118681
283 STUDIO,1.295644255,103.8398194
33 RESIDENCES,1.3119781590000001,103.88652259999999
35 GILSTEAD,1.317339778,103.83805490000002
368 THOMSON,1.327073349,103.8419829
38 I SUITES,1.3116981909999998,103.89631990000001
38 JERVOIS,1.294080323,103.82272420000001
3@PHILLIPS,1.363508144,103.87451490000001
3BHC,1.356391031,103.83259029999999
448@EAST COAST,1.308865164,103.9134265
57 @ KOVAN,1.3573503340000002,103.8805046
70@TRURO,1.314891142,103.8490807
77 @ EAST COAST,1.313362409,103.927392
833 M B RESIDENCES,1.302591468,103.8983973
8@WOODLEIGH,1.336119365,103.8696231
8M RESIDENCES,1.299300952,103.8886814
91 MARSHALL,1.3065479309999999,103.9009988
A TREASURE TROVE,1.4054000519999998,103.8996622
AALTO,1.298432107,103.8972887
ADAM PARK CONDOMINIUM,1.32801938,103.8129761
ADAM PLACE,1.325177201,103.8128069
ADANA @ THOMSON,1.3695769709999999,103.8279053
ADELPHI PARK ESTATE,1.354923642,103.82859470000001
ADRIA,1.316465931,103.84621429999999
AFFINITY AT SERANGOON,1.365939961,103.87370759999999
AFFLUENCE COURT,1.350134075,103.88302759999999
AIRSTREAM,1.3273386,103.8640299
ALANA,1.38888498,103.8554069
ALBA,1.307457225,103.8397254
ALEGRIA,1.324342771,103.8410259
ALESSANDREA,1.290521161,103.8225862
ALEX RESIDENCES,1.290385364,103.81898259999998
ALEXIS,1.2913211359999999,103.80738690000001
ALLAMANDA GROVE,1.322979149,103.79385970000001
ALLSWORTH PARK,1.319659237,103.7805972
ALPHA APARTMENTS,1.311950626,103.905401
ALTEZ,1.274617941,103.8443196
AMANINDA,1.32474904,103.8411017
AMARANDA GARDENS,1.3496205490000002,103.866538
AMARYLLIS VILLE,1.314862752,103.84176459999999
AMBER 45,1.302464505,103.9015278
AMBER PARK,1.300697505,103.8994464
AMBER POINT,1.298816406,103.89846120000001
AMBER RESIDENCES,1.301190297,103.90080920000001
AMBER SKYE,1.299625494,103.8981002
AMPAS APARTMENTS,1.326251313,103.8510969
ANGULLIA PARK RESIDENCES @ ORCHARD,1.30361962,103.8292572
APLETON VIEW,1.319100198,103.8460697
APOLLO GARDENS,1.3383191159999999,103.95867400000002
AQUARINE GARDENS,1.313468427,103.9281708
AQUARIUS BY THE PARK,1.3378914240000002,103.93599820000001
AQUENE,1.31437578,103.90912979999999
ARC AT TAMPINES,1.3502282380000001,103.9284128
ARCHIPELAGO,1.33847131,103.9198304
ARDISIA GARDENS,1.3478291830000002,103.8775052
ARDMORE II,1.309243214,103.828226
ARDMORE PARK,1.309982557,103.82960390000001
ARENA RESIDENCES,1.309714585,103.8806495
ARTHUR 118,1.298815385,103.8878765
ARTHUR MANSIONS,1.298882863,103.88718320000001
ARTRA,1.2899218159999999,103.817109
ASCENT @ 456,1.326591638,103.84839649999999
ASCENTIA SKY,1.29084604,103.81704509999999
ASPEN HEIGHTS,1.294560069,103.8405015
ASPEN LINQ,1.295341128,103.83982850000001
ASPEN LOFT,1.314682329,103.9047075
ASTON GREEN,1.3486366769999998,103.88303520000001
ASTON LODGE,1.310074967,103.87709190000001
ASTON MANSIONS,1.3140833920000001,103.890659
ASTON RESIDENCE,1.380156225,103.9644537
ASTOR,1.328852758,103.9129598
ASTOR GREEN,1.317883029,103.77667609999999
ASTORIA PARK,1.321703118,103.912054
ASTRID MEADOWS,1.318804147,103.7950406
ASTRIDVILLE,1.321301291,103.7940719
ATELIER VILLAS,1.3816744930000002,103.8329987
ATRIUM RESIDENCES,1.31336026,103.88592270000001
ATTITUDE AT KIM YAM,1.295493442,103.8389094
AURA 83,1.310834894,103.90633659999999
AURALIS,1.310229239,103.915941
AUSTVILLE RESIDENCES,1.3807723980000002,103.90121629999999
AVA TOWERS,1.322139679,103.85186359999999
AVALON,1.312743449,103.82893890000001
AVANT PARC,1.461085949,103.83813470000001
AVANT RESIDENCES,1.313593343,103.8822949
AVENUE SOUTH RESIDENCE,1.276496464,103.82936070000001
AVILA GARDENS,1.3608973780000002,103.9658528
AVILA TERRACE,1.360035391,103.9693801
AVON PARK,1.33940444,103.86943640000001
AXIS @ SIGLAP,1.311786174,103.9239182
AZALEA PARK CONDOMINIUM,1.360425889,103.9627309
BAGNALL COURT,1.320249365,103.9548628
BALCON EAST,1.314793313,103.9423065
BALESTIER POINT,1.322825317,103.85203440000001
BALLOTA PARK CONDOMINIUM,1.35801689,103.96857609999999
BALMORAL 8,1.314403798,103.83223199999999
BALMORAL CREST,1.315858618,103.83399370000001
BALMORAL GATE,1.317157254,103.834356
BALMORAL HEIGHTS,1.315027763,103.83475859999999
BALMORAL HILLS,1.316295513,103.8279663
BALMORAL POINT,1.316324214,103.8331904
BALMORAL RESIDENCES,1.3155987409999998,103.8352671
BALMORAL TOWER,1.3166712329999999,103.83362220000001
BALMY COURT,1.3141514029999999,103.88495309999999
BAN GUAN PARK,1.322452185,103.7857254
BANYAN CONDOMINIUM,1.278120029,103.7882453
BANYAN PARK,1.279343116,103.78950079999998
BANYAN VILLAS,1.387602926,103.8391627
BARKER TERRACES,1.321695263,103.83568259999998
BARKER VILLE,1.319530071,103.8365227
BAROSSA GARDENS,1.2808511740000001,103.78397559999999
BARTLEY RESIDENCES,1.342880949,103.8812179
BARTLEY RIDGE,1.340684309,103.88111040000001
BARTLEY RISE ESTATE,1.34462728,103.8737035
BARTLEY VILLAS,1.345102068,103.87795009999999
BASSEIN COURT,1.322842112,103.84829090000001
BAYOU RESIDENCE,1.34634088,103.88025340000002
BAYSHORE PARK,1.311423024,103.9366607
BAYVILLE CONDOMINIUM,1.281355779,103.7877157
BAYWATER,1.3373063029999999,103.9325682
BEACON HEIGHTS,1.326714535,103.86225490000001
BEAU VISTA,1.325370808,103.9127396
BEAUFORT ON NASSIM,1.3086028490000001,103.82462629999999
BEAUTY GARDEN,1.362002076,103.74866970000001
BEAVERTON COURT,1.316107929,103.7762055
BEDOK COURT,1.321987818,103.9451682
BEDOK GROVE,1.325256132,103.95315459999999
BEDOK PESARI,1.325319304,103.9547692
BEDOK RESIDENCES,1.324766361,103.9292679
BEDOK RIA,1.326723467,103.9526582
BEDOKVILLE,1.323682017,103.9477893
