MALL,REGION,LATITUDE,LONGITUDE
100 AM,CENTRAL,1.2745882179999999,103.84347070000001
313 @ SOMERSET,CENTRAL,1.300978082,103.8383505
APERIA,CENTRAL,1.30974242,103.8641016
BALESTIER HILL SHOPPING CENTRE,CENTRAL,1.326124169,103.8437095
BUGIS CUBE,CENTRAL,1.298195005,103.85565550000001
BUGIS JUNCTION,CENTRAL,1.300117893,103.8561916
BUGIS+,CENTRAL,1.299507613,103.8543709
CAPITOL PIAZZA,CENTRAL,1.293063359,103.85129350000001
CATHAY CINELEISURE ORCHARD,CENTRAL,1.301497434,103.8364448
THE CENTRAL,CENTRAL,1.288838562,103.846558
THE CENTREPOINT,CENTRAL,1.301978369,103.839759
CITY SQUARE MALL,CENTRAL,1.31147745,103.8567808
CITY GATE,CENTRAL,1.302347543,103.86225999999999
CITYLINK MALL,CENTRAL,1.292378607,103.854663
DUO GALLERIA,CENTRAL,1.299534349,103.8584017
FAR EAST PLAZA,CENTRAL,1.3073111259999999,103.83394
FUNAN,CENTRAL,1.2912440059999999,103.8499848
GREAT WORLD CITY,CENTRAL,1.293154929,103.831928
HDB HUB,CENTRAL,1.33218812,103.8470778
HOLLAND VILLAGE,CENTRAL,1.311148062,103.79500340000001
ION ORCHARD,CENTRAL,1.3040425340000001,103.83188829999999
JUNCTION 8 SHOPPING CENTRE,CENTRAL,1.350686263,103.84894969999999
KNIGHTSBRIDGE,CENTRAL,1.302983123,103.8362839
LIAT TOWERS,CENTRAL,1.30510759,103.83072790000001
LUCKY PLAZA,CENTRAL,1.30446379,103.83400520000001
MARINA BAY SANDS,CENTRAL,1.283994101,103.85945059999999
THE SHOPPES AT MARINA BAY SANDS,CENTRAL,1.284234913,103.8589822
MARINA BAY FINANCIAL CENTRE (TOWER 3),CENTRAL,1.279124938,103.85445759999999
MARINA BAY LINK MALL,CENTRAL,1.2804679429999999,103.85347009999998
THE HEART,CENTRAL,1.277526289,103.8529353
MARINA SQUARE,CENTRAL,1.291117292,103.8577583
MILLENIA WALK,CENTRAL,1.292046053,103.8599002
MUSTAFA CENTRE,CENTRAL,1.3100808529999999,103.8552998
NGEE ANN CITY,CENTRAL,1.302424172,103.8346761
ORCHARD CENTRAL,CENTRAL,1.300723504,103.83969240000002
ORCHARD GATEWAY,CENTRAL,1.300443253,103.8394428
ORCHARD PLAZA,CENTRAL,1.30126533,103.84115179999999
MIDPOINT ORCHARD,CENTRAL,1.301783782,103.8386606
ORCHARD SHOPPING CENTRE,CENTRAL,1.301484998,103.83788829999999
PALAIS RENAISSANCE,CENTRAL,1.306654845,103.829588
PEOPLE'S PARK CENTRE,CENTRAL,1.285757742,103.8439298
PEOPLE'S PARK COMPLEX,CENTRAL,1.284128626,103.8425848
PLAZA SINGAPURA,CENTRAL,1.300820718,103.8450673
GR.ID,CENTRAL,1.300046856,103.8492464
RAFFLES CITY SHOPPING CENTRE,CENTRAL,1.2938935790000001,103.8531199
SCOTTS SQUARE,CENTRAL,1.3057629240000002,103.8330834
SERANGOON PLAZA,CENTRAL,1.310780752,103.8551468
SHAW HOUSE,CENTRAL,1.305730607,103.8315319
SHAW CENTRE,CENTRAL,1.306072475,103.83177590000001
SIM LIM SQUARE,CENTRAL,1.303022985,103.85287559999999
SINGAPORE SHOPPING CENTRE,CENTRAL,1.2981321479999999,103.8441384
THE SOUTH BEACH,CENTRAL,1.2949880440000001,103.8562762
SQUARE 2,CENTRAL,1.320612586,103.8443315
SUNTEC CITY,CENTRAL,1.295466756,103.85858499999999
TANGLIN MALL,CENTRAL,1.304853421,103.8238835
TANG PLAZA,CENTRAL,1.30483283,103.83323670000001
TANJONG PAGAR CENTRE,CENTRAL,1.276609528,103.8461808
ZHUJIAO CENTRE (TEKKA MARKET),CENTRAL,1.30617773,103.85061
THE PARAGON,CENTRAL,1.3039493640000002,103.8358442
THE POIZ CENTRE,CENTRAL,1.331303514,103.8680765
THOMSON PLAZA,CENTRAL,1.3543252419999998,103.8303281
UNITED SQUARE,CENTRAL,1.3175117140000001,103.84362879999999
VELOCITY @ NOVENA SQUARE,CENTRAL,1.319789492,103.84403359999999
WHEELOCK PLACE,CENTRAL,1.30453636,103.8307142
WISMA ATRIA,CENTRAL,1.303698907,103.8331896
ZHONGSHAN MALL,CENTRAL,1.326945045,103.84655440000002
WHITE SANDS,EAST,1.372398981,103.94974920000001
DOWNTOWN EAST,EAST,1.377775842,103.9547736
CENTURY SQUARE,EAST,1.3523611309999999,103.9437848
TAMPINES ONE,EAST,1.35425638,103.9450717
TAMPINES MALL,EAST,1.3525802519999999,103.94469620000001
OUR TAMPINES HUB,EAST,1.353101202,103.9408486
CHANGI CITY POINT,EAST,1.334036379,103.9629176
DJITSUN MALL BEDOK,EAST,1.326053199,103.92960459999999
EASTPOINT MALL,EAST,1.342586441,103.9530723
BEDOK MALL,EAST,1.3246689740000002,103.9294055
BEDOK POINT,EAST,1.324801026,103.932384
PAYA LEBAR SQUARE,EAST,1.318675756,103.89255059999999
SINGAPORE POST CENTRE,EAST,1.318871844,103.8947671
PLQ MALL,EAST,1.317482311,103.8928322
KINEX,EAST,1.314692135,103.8944805
112 KATONG,EAST,1.305086818,103.90509890000001
PARKWAY PARADE,EAST,1.301080033,103.9052818
CITY PLAZA,EAST,1.314805223,103.8934183
KATONG SQUARE,EAST,1.3048533709999999,103.90457420000001
KATONG V,EAST,1.303850304,103.9028504
KALLANG WAVE MALL,EAST,1.303843272,103.8727507
LEISURE PARK KALLANG,EAST,1.302337453,103.87644920000001
EAST VILLAGE,EAST,1.331778949,103.94623670000001
ELIAS MALL,EAST,1.378570261,103.9419891
LOYANG POINT,EAST,1.36645364,103.9645985
THE FLOW MALL,EAST,1.30455858,103.9042117
JEWEL CHANGI AIRPORT,EAST,1.360331745,103.9896703
888 PLAZA,NORTH,1.437130524,103.79528990000001
ADMIRALTY PLACE,NORTH,1.439880955,103.80179100000001
AMK HUB,NORTH,1.3693892269999999,103.848478
CANBERRA PLAZA,NORTH,1.443245232,103.8305235
CAUSEWAY POINT,NORTH,1.4360886769999999,103.78601
BROADWAY PLAZA,NORTH,1.371936464,103.8459738
DJITSUN MALL BEDOK,NORTH,1.326053199,103.92960459999999
JUBILEE SQUARE,NORTH,1.3717855190000001,103.8477757
JUNCTION NINE,NORTH,1.433031982,103.8416008
MARSILING MALL,NORTH,1.433512535,103.7797469
NORTHPOINT CITY,NORTH,1.428113577,103.83606309999999
SEMBAWANG SHOPPING CENTRE,NORTH,1.4418532530000001,103.8248324
SUN PLAZA,NORTH,1.4482265380000001,103.8194621
WISTERIA MALL,NORTH,1.417999263,103.8412365
WOODLANDS MART,NORTH,1.44564787,103.7981623
WATERWAY POINT,NORTH EAST,1.4064261630000001,103.90223809999999
COMPASS ONE,NORTH EAST,1.392094156,103.89498
HOUGANG MALL,NORTH EAST,1.3724367830000002,103.89372390000001
HEARTLAND MALL-KOVAN,NORTH EAST,1.359544509,103.8851691
NEX,NORTH EAST,1.3506755209999999,103.87186159999999
GREENWICH V,NORTH EAST,1.3876033019999998,103.86942359999999
HOUGANG 1,NORTH EAST,1.375667283,103.8794503
HOUGANG GREEN SHOPPING MALL,NORTH EAST,1.379317835,103.88784709999999
MYVILLAGE AT SERANGOON GARDEN,NORTH EAST,1.365160713,103.86504190000001
OASIS TERRACES,NORTH EAST,1.402634601,103.91327059999999
PUNGGOL PLAZA,NORTH EAST,1.394184094,103.9129764
RIVERVALE MALL,NORTH EAST,1.3922173269999998,103.90447309999999
RIVERVALE PLAZA,NORTH EAST,1.385371516,103.90184959999999
THE SELETAR MALL,NORTH EAST,1.391393061,103.87606770000001
BUANGKOK SQUARE,NORTH EAST,1.384334266,103.88162309999998
THE MIDTOWN,NORTH EAST,1.37047941,103.8951285
UPPER SERANGOON SHOPPING CENTRE,NORTH EAST,1.353480883,103.8788284
BEAUTY WORLD CENTRE,NORTH WEST,1.342412642,103.7765394
BEAUTY WORLD PLAZA,NORTH WEST,1.341787998,103.77630409999999
BUKIT PANJANG PLAZA,NORTH WEST,1.379916507,103.7643171
